Iteration,ActiveTime_ms,NumAnts,FoodCount
1,0.155,426,0
2,0.163,425,0
3,0.136,424,0
4,0.129,423,0
5,0.137,420,0
6,0.144,420,0
7,0.111,419,0
8,0.184,419,0
9,0.131,422,0
10,0.112,425,0
11,0.114,424,0
12,0.196,424,0
13,0.169,427,0
14,0.17,426,0
15,0.233,419,0
16,0.272,424,0
17,0.146,418,0
18,0.171,414,0
19,0.108,421,0
20,0.111,428,0
21,0.118,424,0
22,0.127,420,0
23,0.178,419,0
24,0.123,422,0
25,0.25,423,0
26,0.125,420,0
27,0.224,414,0
28,0.138,420,0
29,0.246,420,0
30,0.199,417,0
31,0.169,418,0
32,0.161,413,0
33,0.21,417,0
34,0.144,422,0
35,0.165,419,0
36,0.278,417,0
37,0.245,419,0
38,0.219,420,0
39,0.166,416,0
40,0.248,411,0
41,0.23,417,0
42,0.343,421,0
43,0.18,413,0
44,0.303,411,0
45,0.283,418,0
46,0.206,419,0
47,0.174,421,0
48,0.183,421,0
49,0.182,426,0
50,0.329,428,0
51,0.338,428,0
52,0.305,431,0
53,0.227,421,0
54,0.187,417,0
55,0.27,416,0
56,0.178,420,0
57,0.305,421,0
58,0.305,423,0
59,0.21,418,0
60,0.251,421,0
61,0.213,423,0
62,0.178,425,0
63,0.182,429,0
64,0.18,420,0
65,0.176,426,0
66,0.346,417,0
67,0.178,426,0
68,0.288,424,0
69,0.23,424,0
70,0.331,424,0
71,0.208,426,0
72,0.279,425,0
73,0.207,420,0
74,0.244,421,0
75,0.309,416,0
76,0.488,416,0
77,0.558,417,0
78,0.277,421,0
79,0.207,419,0
80,0.291,419,0
81,0.156,417,0
82,0.186,424,0
83,0.16,426,0
84,0.222,420,0
85,0.228,417,0
86,0.163,423,0
87,0.208,427,0
88,0.235,424,0
89,0.172,422,0
90,0.195,423,0
91,0.369,427,0
92,0.223,427,0
93,0.19,428,0
94,0.209,430,0
95,0.249,433,0
96,0.377,430,0
97,0.363,437,0
98,0.225,438,0
99,0.287,433,0
100,0.354,435,0
101,0.274,434,0
102,0.198,434,0
103,0.403,426,0
104,0.563,426,0
105,0.552,425,0
106,0.37,423,0
