Iteration,ActiveTime_ms,NumAnts,FoodCount
1,0.131,337,0
2,0.214,330,0
3,0.109,338,0
4,0.108,340,0
5,0.203,338,0
6,0.104,347,0
7,0.099,342,0
8,0.104,341,0
9,0.101,330,0
10,0.193,332,0
11,0.242,332,0
12,0.126,333,0
13,0.203,335,0
14,0.143,330,0
15,0.178,335,0
16,0.234,327,0
17,0.287,325,0
18,0.204,325,0
19,0.209,317,0
20,0.108,321,0
21,0.198,319,0
22,0.101,319,0
23,0.172,327,0
24,0.122,327,0
25,0.178,317,0
26,0.104,311,0
27,0.114,321,0
28,0.187,322,0
29,0.168,323,0
30,0.112,323,0
31,0.111,326,0
32,0.116,319,0
33,0.106,322,0
34,0.112,324,0
35,0.215,323,0
36,0.115,334,0
37,0.108,336,0
38,0.103,328,0
39,0.131,341,0
40,0.106,347,0
41,0.163,341,0
42,0.115,343,0
43,0.108,339,0
44,0.114,338,0
45,0.199,333,0
46,0.118,338,0
47,0.108,343,0
48,0.201,341,0
49,0.112,344,0
50,0.223,337,0
51,0.134,336,0
52,0.196,331,0
53,0.105,336,0
54,0.127,339,0
55,0.13,335,0
56,0.107,334,0
57,0.109,334,0
58,0.218,336,0
59,0.213,334,0
60,0.228,329,0
61,0.233,329,0
62,0.205,327,0
63,0.244,332,0
64,0.178,333,0
65,0.279,328,0
66,0.234,331,0
67,0.186,335,0
68,0.183,336,0
69,0.285,337,0
70,0.152,338,0
71,0.153,341,0
72,0.156,336,0
73,0.238,338,0
74,0.17,339,0
75,0.176,339,0
76,0.254,339,0
77,0.17,335,0
78,0.306,335,0
79,0.175,338,0
80,0.251,328,0
81,0.146,332,0
82,0.144,329,0
83,0.143,333,0
84,0.142,334,0
85,0.259,329,0
86,0.148,323,0
87,0.312,332,0
88,0.144,331,0
89,0.277,339,0
90,0.154,340,0
91,0.163,343,0
92,0.173,339,0
93,0.182,345,0
94,0.157,338,0
95,0.289,339,0
96,0.15,340,0
97,0.161,332,0
98,0.169,336,0
99,0.284,336,0
100,0.319,342,0
101,0.141,345,0
102,0.326,343,0
103,0.218,344,0
104,0.342,342,0
