Iteration,ActiveTime_ms,NumAnts,FoodCount
1,0.276,620,0
2,0.373,629,0
3,0.229,621,0
4,0.202,613,0
5,0.307,613,0
6,0.227,611,0
7,0.257,616,0
8,0.292,609,0
9,0.211,617,0
10,0.332,611,0
11,0.233,609,0
12,0.228,613,0
13,0.22,609,0
14,0.241,615,0
15,0.43,610,0
16,0.463,616,0
17,0.349,616,0
18,0.267,618,0
19,0.328,618,0
20,0.27,619,0
21,0.25,621,0
22,0.372,619,0
23,0.252,618,0
24,0.256,617,0
25,0.239,627,0
26,0.416,630,0
27,0.398,628,0
28,0.248,624,0
29,0.322,623,0
30,0.261,623,0
31,0.424,625,0
32,0.295,625,0
33,0.312,622,0
34,0.299,626,0
35,0.45,630,0
36,0.318,619,0
37,0.313,618,0
38,0.309,619,0
39,0.3,613,0
40,0.31,611,0
41,0.347,609,0
42,0.432,608,0
43,0.307,611,0
44,0.308,614,0
45,0.368,620,0
46,0.463,614,0
47,0.497,617,0
48,0.44,615,0
49,0.421,611,0
50,0.247,614,0
51,0.29,618,0
52,0.258,615,0
53,0.254,612,0
54,0.241,612,0
55,0.27,619,0
56,0.264,617,0
57,0.277,618,0
58,0.261,614,0
59,0.334,610,0
60,0.273,613,0
61,0.285,612,0
62,0.283,613,0
63,0.303,617,0
64,0.449,616,0
65,0.325,618,0
66,0.441,614,0
67,0.474,607,0
68,0.445,603,0
69,0.489,599,0
70,0.474,611,0
71,0.351,611,0
72,0.34,610,0
73,0.473,607,0
74,0.518,600,0
75,0.364,600,0
76,0.523,605,0
77,0.377,605,0
78,0.353,608,0
79,0.381,603,0
80,0.343,616,0
81,0.352,613,0
82,0.351,616,0
83,0.514,607,0
84,0.344,607,0
85,0.492,618,0
86,0.358,614,0
87,0.451,608,0
88,0.342,612,0
89,0.48,609,0
90,0.346,612,0
91,0.502,608,0
92,0.366,610,0
93,0.497,603,0
94,0.364,604,0
95,0.499,605,0
96,0.331,602,0
97,0.52,606,0
98,0.461,605,0
99,0.451,598,0
100,0.34,601,0
101,0.503,598,0
102,0.484,598,0
103,0.772,595,0
104,0.493,601,0
105,0.404,600,0
106,0.563,608,0
107,0.392,605,0
108,0.338,601,0
109,0.473,600,0
110,0.462,601,0
111,0.263,600,0
112,0.236,599,0
113,0.382,595,0
114,0.464,594,0
115,0.479,590,0
116,0.408,595,0
117,0.518,590,0
118,0.359,607,0
119,0.357,607,0
120,0.337,608,0
121,0.379,610,0
122,0.325,605,0
