Iteration,ActiveTime_ms,NumAnts,FoodCount
1,0.238,631,0
2,0.225,628,0
3,0.19,630,0
4,0.182,633,0
5,0.178,631,0
6,0.188,637,0
7,0.182,633,0
8,0.183,634,0
9,0.189,624,0
10,0.179,628,0
11,0.181,627,0
12,0.202,626,0
13,0.194,628,0
14,0.217,623,0
15,0.21,627,0
16,0.212,622,0
17,0.214,622,0
18,0.194,622,0
19,0.181,618,0
20,0.206,621,0
21,0.209,619,0
22,0.187,621,0
23,0.193,624,0
24,0.21,624,0
25,0.204,617,0
26,0.214,615,0
27,0.215,620,0
28,0.225,621,0
29,0.23,621,0
30,0.236,620,0
31,0.256,623,0
32,0.264,621,0
33,0.249,622,0
34,0.246,621,0
35,0.273,619,0
36,0.274,626,0
37,0.283,630,0
38,0.285,627,0
39,0.274,630,0
40,0.284,632,0
41,0.315,633,0
42,0.335,634,0
43,0.277,635,0
44,0.281,633,0
45,0.324,629,0
46,0.294,634,0
47,0.304,635,0
48,0.34,636,0
49,0.26,637,0
50,0.22,634,0
51,0.24,629,0
52,0.224,625,0
53,0.226,627,0
54,0.222,627,0
55,0.242,623,0
56,0.241,624,0
57,0.238,623,0
58,0.243,626,0
59,0.255,625,0
60,0.252,622,0
61,0.248,624,0
62,0.256,624,0
63,0.28,622,0
64,0.284,623,0
65,0.294,623,0
66,0.284,623,0
67,0.279,629,0
68,0.282,630,0
69,0.329,635,0
70,0.327,632,0
71,0.32,637,0
72,0.321,634,0
73,0.326,635,0
74,0.34,637,0
75,0.336,639,0
76,0.332,635,0
77,0.319,632,0
78,0.324,632,0
79,0.319,633,0
80,0.32,621,0
81,0.314,627,0
82,0.316,622,0
83,0.317,626,0
84,0.32,624,0
85,0.313,621,0
86,0.324,620,0
87,0.31,624,0
88,0.311,624,0
89,0.315,627,0
90,0.317,625,0
91,0.318,630,0
92,0.319,626,0
93,0.318,631,0
94,0.325,629,0
95,0.32,627,0
96,0.317,630,0
97,0.33,624,0
98,0.332,627,0
99,0.326,629,0
100,0.32,628,0
101,0.316,628,0
102,0.387,626,0
103,0.431,627,0
104,0.392,626,0
105,0.33,628,0
106,0.274,624,0
107,0.287,624,0
108,0.439,629,0
109,0.266,626,0
110,0.269,630,0
111,0.245,631,0
112,0.209,629,0
113,0.309,632,0
114,0.375,630,0
115,0.42,631,0
116,0.328,631,0
117,0.356,632,0
118,0.29,626,0
119,0.346,625,0
120,0.284,624,0
121,0.26,618,0
122,0.258,624,0
123,0.262,620,0
124,0.279,622,0
125,0.255,624,0
126,0.283,622,0
127,0.281,619,0
128,0.284,621,0
129,0.303,620,0
130,0.283,625,0
131,0.28,623,0
132,0.316,624,0
133,0.325,626,0
134,0.318,624,0
135,0.318,628,0
136,0.276,629,0
137,0.319,631,0
138,0.329,630,0
139,0.329,626,0
140,0.318,630,0
141,0.321,636,0
142,0.323,632,0
143,0.315,631,0
144,0.317,626,0
145,0.313,626,0
146,0.319,629,0
147,0.317,623,0
148,0.314,626,0
149,0.315,623,0
150,0.313,624,0
151,0.311,621,0
152,0.313,622,0
153,0.313,621,0
154,0.314,623,0
155,0.316,620,0
156,0.272,622,0
157,0.313,622,0
158,0.291,626,0
159,0.267,623,0
160,0.267,623,0
161,0.278,622,0
162,0.272,621,0
163,0.271,616,0
164,0.273,621,0
165,0.281,622,0
166,0.3,618,0
167,0.348,619,0
168,0.315,617,0
169,0.258,619,0
170,0.264,614,0
171,0.248,616,0
172,0.276,614,0
173,0.286,621,0
174,0.286,619,0
175,0.27,620,0
176,0.271,611,0
177,0.285,613,0
178,0.272,607,0
179,0.271,607,0
180,0.302,613,0
181,0.308,614,0
182,0.311,611,0
183,0.306,612,0
184,0.322,609,0
185,0.308,609,0
186,0.316,611,0
187,0.302,612,0
188,0.317,612,0
189,0.305,618,0
190,0.306,617,0
191,0.311,618,0
192,0.296,618,0
193,0.28,623,0
194,0.28,622,0
195,0.3,623,0
196,0.272,624,0
197,0.282,619,0
198,0.276,617,0
199,0.275,622,0
200,0.281,623,0
201,0.272,620,0
202,0.31,615,0
203,0.298,619,0
204,0.312,615,0
205,0.311,620,0
206,0.272,618,0
207,0.315,619,0
208,0.314,616,0
209,0.313,619,0
210,0.315,616,0
211,0.305,614,0
212,0.304,611,0
213,0.317,611,0
214,0.32,611,0
215,0.306,613,0
216,0.307,610,0
217,0.31,608,0
218,0.305,607,0
219,0.305,605,0
220,0.297,601,0
221,0.264,600,0
222,0.257,603,0
223,0.27,613,0
224,0.303,612,0
225,0.323,610,0
226,0.31,614,0
227,0.279,611,0
228,0.293,614,0
229,0.265,612,0
230,0.251,610,0
231,0.274,611,0
232,0.242,610,0
233,0.242,615,0
234,0.228,618,0
235,0.249,616,0
236,0.248,615,0
237,0.242,614,0
238,0.242,611,0
239,0.274,615,0
240,0.286,621,0
241,0.29,623,0
242,0.274,620,0
243,0.274,619,0
244,0.272,619,0
245,0.277,620,0
246,0.276,617,0
247,0.277,617,0
248,0.309,616,0
249,0.32,613,0
250,0.314,614,0
251,0.31,614,0
252,0.315,611,0
253,0.291,613,0
254,0.268,609,0
255,0.309,607,0
256,0.305,609,0
257,0.322,607,0
258,0.306,610,0
259,0.308,609,0
260,0.299,609,0
261,0.301,605,0
262,0.319,606,0
263,0.307,606,0
264,0.303,603,0
265,0.312,602,0
266,0.302,606,0
267,0.304,603,0
268,0.305,602,0
269,0.296,598,0
270,0.309,603,0
271,0.301,603,0
272,0.307,603,0
273,0.304,602,0
274,0.296,599,0
275,0.291,603,0
276,0.294,604,0
277,0.289,603,0
278,0.3,606,0
279,0.304,608,0
280,0.303,607,0
281,0.261,608,0
282,0.301,611,0
283,0.32,612,0
284,0.269,608,0
285,0.315,608,0
286,0.327,611,0
287,0.299,606,0
288,0.279,601,0
289,0.28,600,0
290,0.352,602,0
291,0.32,602,0
292,0.279,604,0
293,0.274,608,0
294,0.323,600,0
295,0.334,600,0
296,0.313,598,0
297,0.309,601,0
298,0.269,599,0
299,0.308,597,0
300,0.26,595,0
301,0.266,596,0
302,0.269,598,0
303,0.306,599,0
304,0.312,599,0
305,0.324,601,0
306,0.354,601,0
307,0.355,602,0
308,0.33,599,0
309,0.297,601,0
310,0.288,600,0
311,0.264,603,0
312,0.255,601,0
313,0.245,600,0
314,0.25,600,0
315,0.237,599,0
316,0.277,600,0
317,0.245,599,0
318,0.269,601,0
319,0.249,602,0
320,0.25,600,0
321,0.203,597,0
322,0.554,597,0
323,0.316,601,0
324,0.557,600,0
325,0.266,595,0
326,0.448,595,0
327,0.226,596,0
328,0.199,594,0
329,0.515,598,0
330,0.231,599,0
331,0.497,599,0
332,0.449,600,0
333,0.241,603,0
334,0.442,604,0
335,0.444,602,0
336,0.227,599,0
337,0.583,600,0
338,0.254,601,0
339,0.198,599,0
340,0.187,596,0
341,0.462,599,0
342,0.203,603,0
343,0.421,604,0
344,0.226,603,0
345,0.203,601,0
346,0.199,602,0
347,0.42,596,0
348,0.216,596,0
349,0.468,594,0
350,0.413,600,0
351,0.208,594,0
352,0.401,593,0
353,0.422,595,0
354,0.198,592,0
355,0.403,595,0
356,0.359,595,0
357,0.313,595,0
358,0.269,600,0
359,0.224,602,0
360,0.213,600,0
361,0.197,600,0
362,0.183,601,0
363,0.183,599,0
364,0.173,600,0
365,0.173,600,0
366,0.191,603,0
367,0.182,600,0
368,0.186,600,0
369,0.186,601,0
370,0.174,600,0
371,0.184,603,0
372,0.17,599,0
373,0.176,599,0
374,0.18,598,0
375,0.172,602,0
376,0.171,597,0
377,0.178,596,0
378,0.174,597,0
379,0.174,600,0
380,0.172,599,0
381,0.176,596,0
382,0.17,595,0
383,0.174,598,0
384,0.174,595,0
385,0.176,589,0
386,0.181,590,0
387,0.175,583,0
388,0.169,585,0
389,0.175,586,0
390,0.172,584,0
391,0.182,584,0
392,0.172,581,0
393,0.169,585,0
394,0.174,584,0
395,0.184,584,0
396,0.175,588,0
397,0.185,586,0
398,0.176,589,0
399,0.178,589,0
400,0.182,592,0
401,0.184,589,0
402,0.179,591,0
403,0.176,585,0
404,0.176,585,0
405,0.179,591,0
406,0.184,596,0
407,0.184,593,0
408,0.175,594,0
409,0.171,592,0
410,0.177,598,0
411,0.173,594,0
412,0.179,594,0
413,0.191,596,0
414,0.178,588,0
415,0.177,587,0
416,0.176,590,0
417,0.176,590,0
418,0.18,591,0
419,0.164,590,0
420,0.176,587,0
421,0.174,588,0
422,0.173,584,0
423,0.181,587,0
424,0.183,591,0
425,0.178,591,0
426,0.189,590,0
427,0.174,591,0
428,0.172,589,0
429,0.193,591,0
430,0.178,589,0
431,0.179,591,0
432,0.177,590,0
433,0.175,590,0
434,0.177,589,0
435,0.179,584,0
436,0.174,589,0
437,0.177,588,0
438,0.178,589,0
439,0.175,589,0
440,0.177,595,0
441,0.186,588,0
442,0.178,590,0
443,0.172,588,0
444,0.177,589,0
445,0.18,589,0
446,0.178,587,0
447,0.18,594,0
448,0.183,589,0
449,0.188,586,0
450,0.183,592,0
451,0.181,597,0
452,0.177,592,0
453,0.166,598,0
454,0.166,597,0
455,0.169,593,0
456,0.157,589,0
457,0.162,592,0
458,0.169,595,0
459,0.17,595,0
460,0.171,594,0
461,0.191,594,0
462,0.179,598,0
463,0.193,600,0
464,0.199,594,0
465,0.194,593,0
466,0.204,591,0
467,0.203,589,0
468,0.206,595,0
469,0.213,594,0
470,0.216,594,0
471,0.226,596,0
472,0.21,594,0
473,0.206,595,0
474,0.205,593,0
475,0.203,598,0
476,0.213,596,0
477,0.225,593,0
478,0.22,585,0
479,0.215,585,0
480,0.218,587,0
481,0.22,589,0
482,0.177,585,0
483,0.167,587,0
484,0.173,586,0
485,0.167,584,0
486,0.168,582,0
487,0.166,583,0
488,0.167,583,0
489,0.174,582,0
490,0.18,582,0
491,0.179,576,0
492,0.194,583,0
493,0.189,581,0
494,0.189,583,0
495,0.202,582,0
496,0.204,586,0
497,0.225,588,0
498,0.215,592,0
499,0.219,589,0
500,0.234,591,0
501,0.239,591,0
502,0.235,589,0
503,0.239,591,0
504,0.235,589,0
505,0.239,587,0
506,0.239,588,0
507,0.271,587,0
508,0.246,592,0
509,0.239,584,0
510,0.281,586,0
511,0.262,586,0
512,0.262,584,0
513,0.263,586,0
514,0.279,585,0
515,0.272,586,0
516,0.27,586,0
517,0.266,589,0
518,0.277,587,0
519,0.264,591,0
520,0.269,592,0
521,0.273,590,0
522,0.271,590,0
523,0.277,586,0
524,0.272,586,0
525,0.277,589,0
526,0.278,589,0
527,0.254,589,0
528,0.36,591,0
529,0.288,591,0
530,0.291,587,0
531,0.329,594,0
532,0.305,592,0
533,0.303,596,0
534,0.3,592,0
535,0.29,588,0
536,0.275,586,0
537,0.287,586,0
538,0.28,588,0
539,0.289,588,0
540,0.286,589,0
541,0.28,593,0
542,0.289,590,0
543,0.275,591,0
544,0.272,590,0
545,0.27,586,0
546,0.272,590,0
547,0.268,590,0
548,0.269,589,0
549,0.272,590,0
550,0.261,588,0
551,0.279,588,0
552,0.271,585,0
553,0.275,584,0
554,0.27,584,0
555,0.265,585,0
556,0.26,588,0
557,0.271,589,0
558,0.276,587,0
559,0.272,586,0
560,0.271,583,0
561,0.274,585,0
562,0.269,588,0
563,0.268,590,0
564,0.267,591,0
565,0.269,591,0
566,0.273,593,0
567,0.268,589,0
568,0.276,590,0
569,0.281,585,0
570,0.277,593,0
571,0.269,589,0
572,0.264,588,0
573,0.274,589,0
574,0.275,594,0
575,0.31,585,0
576,0.313,583,0
577,0.269,581,0
578,0.267,583,0
579,0.261,585,0
580,0.268,578,0
581,0.262,582,0
582,0.264,584,0
583,0.273,585,0
584,0.27,584,0
585,0.268,582,0
586,0.271,580,0
587,0.266,579,0
588,0.263,580,0
589,0.263,580,0
590,0.264,580,0
591,0.272,586,0
592,0.262,586,0
593,0.27,585,0
594,0.27,585,0
595,0.273,585,0
596,0.269,580,0
597,0.268,583,0
598,0.303,577,0
599,0.336,577,0
600,0.306,579,0
601,0.381,578,0
602,0.336,583,0
603,0.33,585,0
604,0.307,583,0
605,0.279,580,0
606,0.311,581,0
607,0.387,582,0
608,0.316,582,0
609,0.346,579,0
610,0.285,578,0
611,0.287,583,0
612,0.288,587,0
613,0.293,587,0
