Iteration,ActiveTime_ms,NumAnts,FoodCount
1,0.31,647,0
2,0.306,648,0
3,0.391,643,0
4,0.249,650,0
5,0.308,640,0
6,0.252,638,0
7,0.359,646,0
8,0.246,640,0
9,0.349,644,0
10,0.378,644,0
11,0.33,648,0
12,0.277,643,0
13,0.267,643,0
14,0.286,641,0
15,0.42,643,0
16,0.408,647,0
17,0.328,639,0
18,0.294,640,0
19,0.38,645,0
20,0.338,651,0
21,0.287,650,0
22,0.268,643,0
23,0.335,628,0
24,0.284,637,0
25,0.37,634,0
26,0.289,636,0
27,0.287,635,0
28,0.294,631,0
29,0.303,628,0
30,0.383,631,0
31,0.359,622,0
32,0.348,619,0
33,0.324,621,0
34,0.418,629,0
35,0.389,627,0
36,0.447,622,0
37,0.37,628,0
38,0.515,622,0
39,0.357,624,0
40,0.527,621,0
41,0.418,615,0
42,0.432,624,0
43,0.479,623,0
44,0.353,620,0
45,0.506,626,0
46,0.399,634,0
47,0.549,641,0
48,0.627,633,0
49,0.399,626,0
50,0.414,623,0
51,0.443,627,0
52,0.286,625,0
53,0.391,628,0
54,0.288,629,0
55,0.474,628,0
56,0.314,631,0
57,0.399,627,0
58,0.326,629,0
59,0.332,627,0
60,0.466,628,0
61,0.363,632,0
62,0.335,629,0
63,0.365,631,0
64,0.364,629,0
65,0.508,626,0
66,0.359,634,0
67,0.364,641,0
68,0.551,634,0
69,0.433,623,0
70,0.449,625,0
71,0.429,622,0
72,0.442,622,0
73,0.405,620,0
74,0.419,622,0
75,0.465,630,0
76,0.405,627,0
77,0.408,630,0
78,0.575,621,0
79,0.401,616,0
80,0.522,618,0
81,0.409,626,0
82,0.531,628,0
83,0.414,623,0
84,0.406,624,0
85,0.495,626,0
86,0.45,627,0
87,0.409,626,0
88,0.452,626,0
89,0.42,626,0
90,0.585,623,0
91,0.538,619,0
92,0.553,626,0
93,0.435,633,0
94,0.47,637,0
95,0.414,634,0
96,0.402,627,0
97,0.413,626,0
98,0.428,633,0
99,0.406,637,0
100,0.44,634,0
101,0.412,640,0
102,0.545,629,0
103,0.579,634,0
104,0.453,635,0
105,0.488,632,0
106,0.419,633,0
107,0.538,631,0
108,0.685,636,0
109,0.388,629,0
110,0.4,637,0
111,0.29,641,0
112,0.3,646,0
113,0.452,642,0
114,0.689,646,0
115,0.48,648,0
116,0.634,650,0
117,0.397,643,0
118,0.525,644,0
119,0.622,647,0
120,0.394,653,0
121,0.366,648,0
122,0.483,640,0
123,0.504,638,0
124,0.496,644,0
125,0.476,642,0
126,0.367,641,0
127,0.56,643,0
128,0.372,642,0
129,0.379,649,0
130,0.385,652,0
131,0.404,650,0
132,0.568,641,0
133,0.447,644,0
134,0.477,642,0
135,0.433,639,0
136,0.381,642,0
137,0.429,631,0
138,0.618,631,0
139,0.454,630,0
140,0.415,632,0
141,0.556,635,0
142,0.429,634,0
143,0.41,635,0
144,0.457,639,0
145,0.422,633,0
146,0.613,631,0
147,0.422,630,0
