Iteration,Temps_Fourmis_ms,Temps_Evaporation_ms,Temps_Update_ms
10,1.62273,0.423552,0.009323
20,1.70436,0.444648,0.0087812
30,1.78357,0.426914,0.0169393
40,1.85135,0.449301,0.0117272
50,2.31643,0.567264,0.0218096
60,2.20115,0.60589,0.0268997
70,2.25118,0.567344,0.0214453
80,3.60473,1.03646,0.0257948
90,2.53089,0.44083,0.0100467
100,2.15172,0.56365,0.0174672
110,2.31278,0.464065,0.0111743
120,2.56579,0.573191,0.01687
130,2.10561,0.460489,0.0155519
140,2.03944,0.516848,0.0170046
150,2.5453,0.576621,0.0202195
160,2.31659,0.582788,0.0217402
170,2.24154,0.554572,0.0165693
180,2.32455,0.548954,0.0212223
190,1.6277,0.408822,0.0172867
200,2.1471,0.546846,0.0399032
210,1.80131,0.363009,0.0083807
220,1.69523,0.418019,0.010532
230,2.37918,0.580623,0.0173907
240,1.90723,0.692775,0.0114746
250,2.35975,0.472902,0.0113182
260,2.2736,0.479788,0.0086309
270,1.8176,0.577437,0.0091723
280,2.4661,0.594077,0.0153552
290,2.49767,0.522804,0.01657
300,2.34101,0.57477,0.0193593
310,2.6233,0.704983,0.0203815
320,2.85445,0.573082,0.0184616
330,3.5568,0.64114,0.0178309
340,2.57219,0.655981,0.0154161
350,2.63772,0.635287,0.0178381
360,2.29548,0.594194,0.0183776
370,2.1287,0.520653,0.0280624
380,2.04961,0.565093,0.0302563
390,2.28337,0.648735,0.0187038
400,2.63032,0.556903,0.0162729
410,3.38585,0.770717,0.0172099
420,2.84634,0.653629,0.0274459
430,2.65507,0.617339,0.0179409
440,3.26397,0.647538,0.0215579
450,2.97303,0.652165,0.0189508
460,2.56757,0.566896,0.0147722
470,2.32778,0.537239,0.0203146
480,3.00854,0.578627,0.0149956
490,2.64394,0.521822,0.0203518
500,2.48775,0.51183,0.0183839
510,2.34163,0.504611,0.0170656
520,2.65921,0.702397,0.0164049
530,2.61593,0.611532,0.0168164
540,2.6015,0.578051,0.0162461
550,1.96707,0.501263,0.0116912
560,1.9189,0.648087,0.011436
570,2.6688,0.730486,0.0146761
580,2.60065,0.760002,0.0149618
590,2.56746,0.661301,0.0135342
600,1.93207,0.424854,0.0170631
610,1.65144,0.384825,0.0138557
620,1.76943,0.470307,0.0248356
630,3.96013,1.68754,0.017604
640,3.21124,0.708999,0.0184657
650,2.49941,0.514731,0.0197476
660,1.76932,0.417322,0.0186363
670,1.71374,0.4043,0.0199895
680,2.03401,0.492483,0.016543
690,2.02524,0.484085,0.0222792
700,2.3037,0.562277,0.0361477
710,1.75756,0.388392,0.01531
720,1.67043,0.382141,0.0191408
730,1.35154,0.303848,0.0152142
740,1.93696,0.476585,0.0113801
750,1.46806,0.293036,0.0076226
760,1.80274,0.422701,0.0089851
770,2.8523,0.584567,0.0136882
780,2.61916,0.720336,0.0162805
790,1.86256,0.573004,0.0106236
800,2.1027,0.68719,0.0148929
810,2.37232,0.709367,0.0124272
820,1.89351,0.396851,0.0140945
830,1.92926,0.48039,0.0112801
840,1.77596,0.339038,0.0059891
850,1.30431,0.26964,0.0055471
860,2.30579,0.568164,0.0112513
870,2.67558,1.21906,0.0116113
880,3.97988,1.03822,0.0217158
890,2.23693,0.580051,0.0107023
900,1.78773,0.467146,0.0087743
910,2.0636,0.619758,0.0135608
920,2.45238,0.738892,0.0152532
930,2.06184,0.55851,0.0097705
940,1.40986,0.28721,0.0059264
950,1.57439,0.445675,0.0107881
960,1.91585,0.428599,0.0130037
970,1.71658,0.343327,0.009047
980,1.77775,0.390023,0.0104906
990,1.57912,0.326267,0.0060326
1000,1.03366,0.224783,0.0050315
1010,1.56037,0.368651,0.0070426
1020,2.1458,0.511406,0.00885
1030,2.45628,0.800902,0.0156265
1040,2.38716,0.658459,0.0091131
1050,2.06565,0.585285,0.0094474
1060,2.44497,0.806701,0.0167351
1070,2.39693,1.11942,0.0086642
1080,1.70739,0.398959,0.0168038
1090,1.59314,0.385931,0.0145016
1100,1.37893,0.313157,0.0176182
1110,1.17484,0.248406,0.0100949
1120,1.29674,0.317118,0.0137466
1130,1.50691,0.353777,0.009432
1140,1.47817,0.374425,0.0146054
1150,1.35455,0.325179,0.0120018
1160,1.29027,0.314616,0.0111254
1170,1.27388,0.318262,0.0093269
1180,1.1172,0.288733,0.0087454
1190,1.41032,0.364323,0.0160348
1200,1.03577,0.267314,0.0143181
1210,1.38301,0.32148,0.0112485
1220,1.53391,0.399846,0.012204
1230,1.63668,0.448309,0.0139239
1240,1.77363,0.546564,0.0138341
1250,1.97489,0.525347,0.0094021
1260,2.32012,0.381485,0.0105696
1270,1.19291,0.289229,0.0118808
1280,1.37169,0.323425,0.0085135
1290,1.58494,0.327747,0.0087744
1300,1.796,0.59911,0.0174561
1310,2.64868,0.757879,0.0147053
1320,2.28397,0.528755,0.0141545
1330,1.97161,0.523911,0.0087755
1340,1.99501,0.575978,0.0122494
1350,1.45365,0.355587,0.0095017
1360,1.5603,0.300037,0.0057218
1370,1.49296,0.355596,0.006807
1380,2.33741,0.674055,0.0157655
1390,1.98145,0.577665,0.0140288
1400,2.36938,0.736437,0.0164197
1410,2.03973,0.624603,0.010002
1420,1.86796,0.3933,0.0088138
1430,1.24635,0.269319,0.0093751
1440,1.26435,0.307711,0.0113023
1450,1.48118,0.423402,0.0072662
1460,1.06219,0.271589,0.0072529
1470,1.20277,0.292931,0.0081706
1480,1.01498,0.267785,0.0109297
1490,1.02491,0.24466,0.0104292
1500,1.00299,0.285145,0.009907
1510,0.962431,0.297274,0.0067421
1520,1.16448,0.305802,0.0082011
1530,1.37682,0.409688,0.0072105
1540,1.7617,0.768178,0.0160413
1550,1.80139,0.529521,0.0125027
1560,1.90666,0.602155,0.0118796
1570,2.0734,0.597375,0.0154205
1580,2.07511,0.499659,0.0108677
1590,1.29807,0.316195,0.00914
1600,1.0726,0.234862,0.0068969
1610,0.917562,0.232817,0.0082047
1620,1.5936,0.442232,0.0142719
1630,1.68946,0.385973,0.0095626
1640,1.62081,0.381822,0.0082791
1650,1.02449,0.27907,0.0075357
1660,0.852438,0.287224,0.0085467
1670,0.990499,0.273599,0.0135141
1680,1.39016,0.327611,0.0120561
1690,1.03947,0.254296,0.0108158
1700,0.958917,0.318003,0.0089586
1710,0.905195,0.271502,0.009661
1720,0.875457,0.253998,0.0119076
1730,1.33215,0.322741,0.0150068
1740,0.916891,0.312503,0.0108878
1750,0.923153,0.265212,0.0110362
1760,1.0884,0.293824,0.0115896
1770,0.959599,0.277089,0.0073308
1780,1.03557,0.26262,0.0061664
1790,0.908993,0.247689,0.0072955
1800,0.944341,0.264585,0.0070615
1810,1.57375,0.432605,0.0085901
1820,1.18948,0.299545,0.006214
1830,0.893764,0.295045,0.0073937
1840,1.4706,0.436005,0.0088304
1850,1.43921,0.55081,0.0082971
1860,1.71852,0.415729,0.010205
1870,1.24131,0.29862,0.0068414
1880,0.894687,0.225083,0.0083124
1890,1.4252,0.329803,0.0074358
1900,1.05462,0.245919,0.0087283
1910,1.35413,0.334887,0.0091083
1920,0.98591,0.270297,0.0054686
1930,1.27268,0.316675,0.0064996
1940,1.55756,0.504742,0.0086172
1950,1.30495,0.380823,0.0107169
1960,0.903558,0.25694,0.0106951
1970,1.09056,0.30422,0.0127057
1980,1.10204,0.362031,0.0097869
1990,0.898714,0.270433,0.0107282
2000,1.05844,0.349527,0.0121662
2010,1.01278,0.305337,0.0082081
2020,1.03875,0.235417,0.0067579
2030,1.02495,0.235181,0.0048552
2040,0.835292,0.282472,0.0079103
2050,1.16581,0.305168,0.0074632
2060,0.831261,0.259799,0.0083821
2070,0.924833,0.263037,0.0060676
2080,1.66353,0.451023,0.0134758
2090,1.25454,0.341651,0.0092323
2100,1.57882,0.418679,0.0157411
2110,0.949014,0.285781,0.0081462
2120,0.792064,0.264883,0.0083116
2130,0.836489,0.276053,0.0063949
2140,0.920056,0.273519,0.009921
2150,0.93896,0.260831,0.0118143
2160,0.865136,0.33936,0.0105047
2170,0.858545,0.260146,0.0098728
2180,0.817914,0.255782,0.0102047
2190,1.02088,0.311992,0.0089014
2200,0.852102,0.260204,0.0094845
2210,0.778962,0.248847,0.0108523
2220,0.854954,0.298926,0.0099869
2230,0.913784,0.287382,0.0059683
2240,0.896267,0.26279,0.0098421
2250,0.82818,0.242146,0.0100718
2260,0.869773,0.255235,0.0066446
2270,0.854687,0.24358,0.0072698
2280,0.922728,0.328251,0.008889
2290,0.874329,0.273338,0.0106122
2300,0.847001,0.222601,0.0057325
2310,0.799039,0.216952,0.0050929
2320,0.837022,0.240288,0.0092222
2330,1.00868,0.316213,0.0085012
2340,1.21178,0.323055,0.0059567
2350,1.48039,0.427299,0.0104174
