Iteration,Temps_Fourmis_ms,Temps_Evaporation_ms,Temps_Update_ms
10,0.703039,0.461605,0.015357
20,0.950944,0.412672,0.0171519
30,1.16163,0.523803,0.0254896
40,1.2069,0.544877,0.0217443
50,1.1694,0.50918,0.0227513
60,1.18475,0.568129,0.021576
70,1.1637,0.520511,0.0280632
80,1.12158,0.449148,0.0221092
90,1.14911,0.365328,0.0239687
100,1.06947,0.373542,0.0226098
110,1.07007,0.361961,0.0210738
120,1.0659,0.399484,0.021261
130,1.10429,0.394511,0.0223087
140,0.92909,0.323211,0.0195498
150,0.654233,0.21188,0.00941
160,1.13328,0.380763,0.0247558
170,1.12302,0.379001,0.0217767
180,1.09836,0.364676,0.0239954
190,1.05141,0.360123,0.0255776
200,1.09877,0.376183,0.0230529
210,0.89856,0.319923,0.0153201
220,1.11764,0.516716,0.0196327
230,0.832112,0.32969,0.0118338
240,1.38926,0.560064,0.016639
250,1.06611,0.413556,0.0211009
260,1.07935,0.363765,0.0255897
270,1.02223,0.341944,0.0227065
280,1.04869,0.408167,0.0252521
290,1.09616,0.437964,0.0241767
300,0.885931,0.301905,0.0165625
310,1.0808,0.338216,0.0233856
320,0.975884,0.361399,0.0253538
330,1.12022,0.438169,0.0269385
340,1.11821,0.428654,0.0227204
350,1.11726,0.385514,0.0239001
360,1.11829,0.407547,0.0240125
370,1.13412,0.446343,0.0268685
380,1.15213,0.467829,0.0302776
390,1.18675,0.444922,0.0277044
400,1.13047,0.408862,0.026306
410,1.22253,0.439351,0.0243122
420,1.21346,0.490495,0.0243052
430,1.1119,0.436764,0.0261925
440,1.0974,0.360777,0.0269212
450,1.16987,0.478705,0.0264513
460,1.18823,0.523697,0.0292823
470,1.18102,0.410628,0.0312138
480,1.1681,0.437283,0.0405342
490,1.12926,0.420375,0.0279288
500,1.09775,0.501216,0.0292795
510,1.12892,0.421479,0.0259878
520,1.09836,0.347472,0.0277917
530,0.862296,0.314008,0.0155447
540,1.0707,0.369527,0.0332431
550,1.15223,0.413681,0.0293449
560,1.1278,0.422227,0.0279075
570,0.956492,0.440479,0.0203366
580,1.09639,0.4835,0.0285405
590,1.2558,0.450614,0.0249414
600,1.20865,0.440036,0.0288368
610,1.14546,0.436032,0.02572
620,0.983171,0.334238,0.0186352
630,1.15788,0.411414,0.0234424
640,1.18808,0.462175,0.025418
650,0.995801,0.336302,0.0437664
660,1.16138,0.402299,0.0389684
670,1.1594,0.424682,0.0256233
680,1.13445,0.439541,0.0274199
690,1.08612,0.449146,0.0259921
700,1.07912,0.353817,0.0297241
710,1.12065,0.452489,0.0440282
720,0.815673,0.337383,0.0168652
730,0.635189,0.254989,0.0116822
740,1.09893,0.392417,0.0262499
750,1.07718,0.412385,0.0259471
760,1.05469,0.418735,0.0223774
770,1.09841,0.414699,0.029042
780,1.15619,0.412567,0.0318589
790,1.00155,0.381726,0.0245079
800,1.80053,1.23013,0.0260293
810,1.17769,0.691296,0.0245011
820,1.10449,0.43688,0.0279282
830,1.17399,0.408352,0.0274397
840,1.07072,0.395755,0.0216068
850,0.962646,0.388117,0.0228417
860,0.923435,0.352859,0.017866
870,0.494641,0.189183,0.0061618
880,0.633635,0.227488,0.0115254
890,1.09019,0.381985,0.0400207
900,1.02341,0.385515,0.0171865
910,0.983542,0.489324,0.0199203
920,1.09062,0.423979,0.0200033
930,0.774016,0.538072,0.0153769
940,1.08849,0.377478,0.0238822
950,0.866883,0.324976,0.0183581
960,0.844336,0.325429,0.0168344
970,0.793218,0.366336,0.0175581
980,0.938601,0.354657,0.0194961
990,0.812006,0.324184,0.0189968
1000,0.780283,0.326787,0.0157881
1010,0.831198,0.306944,0.0163039
1020,0.954983,0.365682,0.0296693
1030,0.860013,0.32725,0.0177943
1040,0.850668,0.343952,0.0178529
1050,0.84146,0.325496,0.0210229
1060,0.759083,0.278071,0.0152683
1070,0.787716,0.340294,0.0263991
1080,0.813179,0.307369,0.0128331
1090,0.886664,0.317418,0.0158046
1100,0.914517,0.331745,0.0167135
1110,0.77257,0.333875,0.0134335
1120,0.929169,0.316739,0.0204905
1130,0.822757,0.289053,0.0147053
1140,0.854191,0.329245,0.0146541
1150,0.798139,0.301818,0.0166941
1160,0.804891,0.333016,0.0148487
1170,0.777336,0.275209,0.0154493
1180,0.782379,0.279647,0.0140348
1190,0.706031,0.276477,0.011066
1200,0.729871,0.335777,0.0142277
1210,0.768066,0.290724,0.0276818
1220,0.740071,0.302103,0.0134598
1230,0.755419,0.308271,0.0253194
1240,0.727555,0.307839,0.0138203
1250,0.735963,0.298004,0.0138948
1260,0.700915,0.269285,0.0228639
1270,0.697195,0.296751,0.0151501
1280,0.666142,0.263048,0.0204602
1290,0.706832,0.341024,0.026465
1300,0.543956,0.219648,0.0077344
1310,0.475972,0.192417,0.0088147
1320,0.825652,0.280486,0.0144777
1330,0.751193,0.293342,0.0127513
1340,0.585772,0.243713,0.0138743
1350,0.652508,0.281387,0.0117746
1360,0.729881,0.31451,0.0108709
1370,0.826959,0.297652,0.0129413
1380,0.572981,0.212726,0.0092271
1390,0.632444,0.249901,0.0086596
1400,0.572032,0.196661,0.0107307
1410,0.73873,0.267365,0.0126888
1420,0.728275,0.28989,0.0154034
1430,0.676652,0.234711,0.0108117
1440,0.616013,0.208415,0.0114794
1450,0.568357,0.22329,0.0108228
1460,0.695288,0.263898,0.0149772
1470,0.730379,0.343831,0.0156198
1480,0.618588,0.268534,0.01299
1490,0.631256,0.222832,0.0211496
1500,0.630001,0.249996,0.0096874
1510,0.612303,0.214138,0.0106115
1520,0.670621,0.275985,0.0094386
1530,0.683534,0.239517,0.0091061
1540,0.710508,0.253088,0.0214331
1550,0.724803,0.227666,0.015669
