Iteration,Temps_Fourmis_ms,Temps_Evaporation_ms,Temps_Update_ms
10,2.13623,0.468582,0.0077582
20,2.84321,0.639754,0.0113141
30,3.36178,0.729829,0.0153321
40,3.40313,0.701129,0.012337
50,3.18532,0.688766,0.011797
60,3.50037,0.779482,0.0129244
70,3.16342,0.651865,0.0146314
80,3.0547,0.731248,0.0124819
90,3.4079,0.715306,0.0127396
100,3.06818,0.782577,0.0144396
110,3.10134,0.69706,0.0132831
120,3.18913,0.746406,0.0150702
130,3.43892,0.798267,0.0184138
140,3.79326,0.866966,0.020498
150,3.18646,0.799111,0.026406
160,3.24285,0.796177,0.0245117
170,3.47496,0.769688,0.0167618
180,3.52768,0.901559,0.027088
190,3.93567,0.884986,0.0171509
200,3.81363,0.817051,0.0214237
210,2.92174,0.702953,0.0216371
220,3.07227,0.615453,0.0130559
230,1.79122,0.528594,0.0061772
240,3.38083,0.749387,0.0142558
250,3.36695,0.818325,0.021334
260,3.51108,0.787031,0.0182206
270,3.6133,0.745494,0.0191722
280,4.29628,0.977454,0.0126781
290,4.03063,0.822504,0.0106765
300,3.63949,0.832408,0.0095932
310,3.74821,0.81432,0.0097129
320,3.68565,0.848535,0.0103408
330,4.58113,1.12536,0.0147817
340,3.98862,0.897421,0.011618
350,4.79323,0.846436,0.0108117
360,3.27528,0.687588,0.0109595
370,3.49474,0.770444,0.012802
380,3.51729,0.930496,0.013661
390,2.76252,0.671942,0.0112416
400,3.32763,0.682472,0.0122271
410,2.95605,0.695363,0.0174183
420,3.74955,0.870643,0.0111687
430,3.57346,0.745216,0.0103784
440,3.33247,0.81595,0.0119517
450,2.99991,0.870642,0.0108978
460,3.25999,0.851281,0.0115622
470,3.27656,0.842929,0.0098826
480,3.44577,0.845151,0.0116007
490,2.87115,0.822773,0.0171709
500,2.97382,0.81832,0.0166261
510,2.97169,0.859159,0.0125551
520,3.06295,0.780194,0.0161951
530,3.05762,0.729136,0.0121363
540,2.69252,0.540515,0.0070268
550,3.23097,0.644135,0.0094836
560,3.35261,0.770431,0.0124671
570,3.4456,0.790878,0.0101288
580,3.73295,0.763106,0.0121868
590,3.42556,0.691773,0.0113479
600,3.15873,0.59702,0.0095341
610,4.11358,0.74508,0.0125578
620,3.09106,0.581688,0.0084566
630,2.88767,0.627564,0.011212
640,3.39831,0.637177,0.0142685
650,3.58898,0.806724,0.012523
660,2.2051,0.490194,0.0084318
670,2.5963,0.538639,0.0090247
680,2.85854,0.665467,0.0104034
690,3.49164,0.737169,0.0103141
700,3.31191,0.660798,0.0107382
710,2.53426,0.550395,0.0111794
720,3.00753,0.738975,0.0131336
730,2.90187,0.650485,0.0094557
740,2.76855,0.576465,0.0114951
750,2.48757,0.600463,0.0164306
760,2.74302,0.605603,0.0185906
770,2.52944,0.604085,0.0125823
780,2.51106,0.631822,0.0149975
790,2.58142,0.576001,0.0125296
800,2.26227,0.457832,0.0060526
810,2.28202,0.498464,0.0058474
820,2.29653,0.497215,0.0091529
830,2.32696,0.554673,0.0084435
840,2.31598,0.52646,0.0090787
850,1.89818,0.430739,0.0068911
860,2.19714,0.476481,0.0084393
870,2.34153,0.616886,0.0137648
880,2.69222,0.622611,0.0115497
890,3.41291,0.78872,0.0139741
900,2.59859,0.563752,0.0141411
910,3.05634,0.744561,0.0111795
920,2.66036,0.695662,0.008357
930,3.55327,0.747809,0.0123415
940,2.11164,0.526837,0.0076857
950,2.43024,0.565769,0.0086876
960,2.63168,0.536605,0.0087058
970,2.16707,0.537668,0.0089652
980,2.51606,0.523972,0.0115252
990,2.16348,0.545549,0.0095646
1000,2.39769,0.615532,0.0105051
1010,2.48853,0.534742,0.0125686
1020,2.08598,0.58225,0.0101058
1030,2.51511,0.599749,0.0095695
1040,2.7037,0.697556,0.0133509
1050,2.76165,0.66304,0.0112363
1060,2.98822,0.721489,0.0158445
1070,2.67399,0.701033,0.0156595
1080,2.57736,0.695009,0.0134166
1090,2.82396,0.671397,0.0131192
1100,2.43157,0.583609,0.0093721
1110,2.25739,0.534518,0.0094907
1120,2.52453,0.612771,0.0091685
1130,1.98108,0.529469,0.0129039
1140,1.93517,0.535807,0.0131836
1150,2.37483,0.564536,0.010542
1160,2.25253,0.58303,0.0121139
1170,1.87284,0.528238,0.0118582
1180,1.914,0.555759,0.0129077
1190,1.81041,0.569793,0.0118862
1200,1.8452,0.553468,0.0113129
1210,2.12258,0.538919,0.0106764
1220,1.74559,0.591005,0.0121364
1230,3.14779,0.593695,0.0080307
1240,1.82902,0.560833,0.0064465
1250,2.21529,0.566551,0.007269
1260,1.77643,0.567125,0.0070241
1270,2.16951,0.604998,0.0131123
1280,2.03866,0.524829,0.0080685
1290,2.27349,0.556215,0.0080969
1300,1.90864,0.53617,0.0097227
1310,1.66997,0.490584,0.0070768
1320,1.90977,0.556998,0.0139634
