Threads,Temps_Creation_Fourmis,Iteration_Nourriture,Temps_Computation,Temps_Total
1,0.078828,2585,7217.52,31505.2
2,0.065696,2585,5442.4,31755
4,0.074095,2585,3926.64,31477.6
8,0.113118,2585,2954.79,31481.3
12,0.06832,2585,2706.92,31573.8
16,0.105663,2585,2853.17,31575.8
