Iteration,Temps_Fourmis_ms,Temps_Evaporation_ms,Temps_Update_ms
1850,2.2284,0.1837,0.0015
1860,2.1792,0.1859,0.0017
1870,2.1255,0.1831,0.0014
1880,2.0934,0.1816,0.0012
1890,2.0868,0.1856,0.0014
1900,2.0884,0.1833,0.0012
1910,2.0937,0.1819,0.0012
1920,2.1227,0.1812,0.0013
1930,2.3088,0.1847,0.0018
1940,2.131,0.1811,0.0013
1950,2.0996,0.1792,0.0012
1960,2.0679,0.1777,0.0011
1970,2.0149,0.1433,0.0012
1980,1.6279,0.1159,0.001
1990,2.5703,0.1898,0.0013
2000,2.1436,0.1856,0.0012
2010,2.0606,0.1765,0.0013
2020,2.0696,0.1761,0.0015
2030,2.056,0.1787,0.001
2040,2.0406,0.177,0.0012
2050,1.975,0.1729,0.0017
2060,2.0683,0.1809,0.0013
2070,1.996,0.1704,0.0013
2080,1.9784,0.1722,0.0012
2090,2.0101,0.1738,0.0012
2100,2.0388,0.1734,0.0011
2110,1.9343,0.1607,0.001
2120,1.7679,0.1464,0.001
2130,1.9232,0.1637,0.0011
2140,1.9597,0.1685,0.0012
2150,1.9444,0.1665,0.0011
2160,1.9434,0.166,0.0011
2170,1.934,0.1682,0.0014
2180,1.9461,0.17,0.0013
2190,1.9241,0.1646,0.0013
2200,1.8891,0.1636,0.0016
2210,1.9402,0.1682,0.0013
2220,1.8557,0.1583,0.0013
2230,1.9127,0.1721,0.0013
2240,1.8538,0.1679,0.0011
2250,1.8009,0.1592,0.0011
2260,1.8159,0.1601,0.001
2270,1.8068,0.1389,0.001
2280,1.7188,0.125,0.0012
2290,1.5955,0.1327,0.001
2300,2.0973,0.1856,0.0016
2310,1.8726,0.165,0.0017
2320,1.8429,0.1668,0.0016
2330,1.8307,0.1724,0.0014
2340,1.8278,0.1638,0.0019
2350,1.8165,0.1615,0.0013
2360,1.8176,0.1649,0.0014
2370,1.8184,0.1638,0.0017
2380,1.8175,0.1617,0.0014
2390,1.8082,0.1591,0.0014
2400,1.8321,0.1611,0.0013
2410,1.8223,0.1578,0.0012
2420,1.6196,0.1424,0.0014
2430,1.746,0.1526,0.0015
2440,1.7601,0.153,0.0014
2450,1.7952,0.157,0.0012
2460,1.8271,0.1565,0.0012
2470,1.7401,0.1527,0.0011
2480,1.7209,0.1589,0.0014
2490,1.7391,0.1536,0.0017
2500,1.7296,0.1635,0.0014
2510,1.7367,0.161,0.0014
2520,1.7183,0.1527,0.0011
2530,1.7781,0.145,0.001
2540,1.8194,0.1495,0.001
2550,1.7805,0.1419,0.0011
2560,1.6406,0.1357,0.0011
2570,1.6997,0.1262,0.0011
2580,1.5802,0.1141,0.001
2590,1.7007,0.1463,0.001
2600,1.757,0.152,0.0011
2610,1.6877,0.1427,0.0011
2620,1.665,0.1416,0.0011
2630,1.651,0.1416,0.0011
2640,1.668,0.1426,0.0011
2650,1.655,0.1427,0.0013
2660,1.6474,0.1424,0.0011
2670,1.6699,0.1442,0.001
2680,1.6725,0.1511,0.0012
2690,1.6143,0.1445,0.001
2700,1.6368,0.1496,0.0023
2710,1.6838,0.1475,0.0013
2720,1.5466,0.135,0.001
2730,1.6355,0.1395,0.0012
2740,1.6331,0.1463,0.0013
2750,1.6043,0.1418,0.0011
2760,1.6099,0.1464,0.0012
2770,1.5803,0.145,0.0012
2780,1.6013,0.1404,0.0014
2790,1.5998,0.1371,0.0011
2800,1.6107,0.1411,0.0015
2810,1.5675,0.1354,0.0012
2820,1.6057,0.1318,0.0008
2830,1.6137,0.1349,0.001
2840,1.6113,0.1292,0.0012
2850,1.6217,0.1323,0.0013
2860,1.6106,0.1304,0.0009
2870,1.6721,0.1364,0.0013
2880,1.5075,0.1188,0.0009
2890,1.5241,0.1323,0.0011
2900,1.6136,0.1346,0.0014
2910,1.6486,0.1292,0.001
2920,1.6157,0.1295,0.0011
2930,1.5863,0.1288,0.001
2940,1.5255,0.1271,0.0011
2950,1.5086,0.1302,0.001
2960,1.6128,0.1272,0.0011
2970,1.4742,0.1305,0.001
2980,1.5368,0.1288,0.0012
2990,1.4841,0.1294,0.0011
3000,1.5155,0.1285,0.001
3010,1.4038,0.1228,0.0012
3020,1.3142,0.1227,0.0008
3030,1.406,0.1284,0.0008
3040,1.7583,0.1634,0.0015
3050,1.554,0.1272,0.0012
3060,1.3747,0.122,0.0008
3070,1.367,0.1237,0.0011
3080,1.502,0.1271,0.001
3090,1.3441,0.1197,0.0008
3100,1.3671,0.1214,0.0008
3110,1.3353,0.1143,0.0008
3120,1.3275,0.1205,0.001
3130,1.4049,0.1298,0.0009
3140,1.5059,0.1301,0.001
3150,1.3706,0.1217,0.001
3160,1.3118,0.1171,0.0008
3170,1.3265,0.123,0.001
3180,1.3982,0.1231,0.0009
3190,1.4952,0.1329,0.001
3200,1.5278,0.1374,0.0013
3210,1.6244,0.1415,0.0013
3220,1.5117,0.1245,0.0014
3230,1.397,0.1231,0.0008
3240,1.3465,0.1217,0.0009
3250,1.3377,0.1263,0.001
3260,1.345,0.1247,0.0011
3270,1.3288,0.126,0.0009
3280,1.4458,0.1324,0.0009
3290,1.4948,0.1337,0.0012
3300,1.4614,0.1282,0.0011
3310,1.5654,0.1391,0.0012
3320,1.6771,0.1408,0.0019
3330,1.6516,0.1325,0.0014
3340,1.3232,0.1144,0.0009
3350,1.3562,0.1231,0.0011
3360,1.5669,0.1379,0.001
3370,1.7366,0.1405,0.0011
3380,1.753,0.1393,0.0012
3390,1.698,0.1371,0.0012
3400,1.6819,0.1306,0.0011
3410,1.6648,0.1355,0.001
3420,1.5019,0.1353,0.001
3430,1.5677,0.1424,0.001
3440,1.718,0.1473,0.0014
3450,1.7114,0.1488,0.0013
